C15orf57	-54.355648
C7orf50	-54.959347
GNPDA1	-55.567063
CLPP	-56.178444
TSC22D4	-56.793063
RPL18	-57.411768
HLX	-58.033310
TSPAN17	-58.657882
TSPAN9	-59.287345
TAF3	-59.919552
NLRC5	-60.555422
MCM3AP-AS1	-61.194609
SCRN1	-61.838507
KDM8	-62.486355
TRIM35	-63.137197
TM2D2	-63.790146
ZNF518A	-64.446189
PTPN18	-65.108697
LTBP2	-65.774881
MEF2D	-66.445186
RDX	-67.119165
TLE1	-67.797026
C1orf122	-68.477056
PHF11	-69.161318
SRPX	-69.851319
FNBP4	-70.544951
IGFLR1	-71.241353
LRRC16A	-71.943185
COX18	-72.648506
PMEPA1	-73.358236
C10orf35	-74.071544
DLC1	-74.788457
HMBOX1	-75.510401
TUSC3	-76.234770
ZCCHC10	-76.962936
SRGN	-77.694368
BMPR2	-78.429525
FAM83D	-79.168201
AKAP8L	-79.910869
UTP3	-80.657277
CUEDC1	-81.407455
DOCK11	-82.161660
ZNF276	-82.919963
CDCA7	-83.681260
TLR1	-84.447745
HSPB8	-85.219277
GGA1	-85.994604
CACNA2D4	-86.773257
HLA-E	-87.555074
ANKZF1	-88.340427
ABHD12	-89.131717
CCDC28A	-89.928409
SMAD1	-90.728986
NUAK1	-91.532066
ARID3B	-92.338693
PRPF4B	-93.150824
ARHGEF10	-93.966674
CWC22	-94.785964
TFAP2A	-95.608767
FBXO43	-96.436961
MTRF1	-97.271724
SLC35F5	-98.111476
CRK	-98.956315
BTAF1	-99.805049
FNDC3B	-100.658136
SEMA4D	-101.515884
USP7	-102.378718
PPP6R1	-103.244620
ZSCAN29	-104.114708
ST5	-104.990746
SMARCA5	-105.871525
ITPR1	-106.754831
ARHGEF17	-107.643177
SCML1	-108.534364
PPTC7	-109.431874
ADAT2	-110.334126
CLIP4	-111.239003
IQGAP2	-112.153557
SLC38A6	-113.073192
CLDN15	-113.998889
SUMF1	-114.926958
EMR2	-115.858074
DST	-116.794940
FAM107B	-117.737619
MDN1	-118.683041
AMIGO2	-119.634303
DYNC2H1	-120.589082
GPR125	-121.548203
ATXN2L	-122.510616
NSUN6	-123.477573
KIF13A	-124.450482
VSIG10	-125.428381
ADPGK	-126.411654
PAPSS2	-127.397376
RPL14	-128.386860
INO80D	-129.381252
HNRPLL	-130.380151
ARHGEF1	-131.382673
IL6ST	-132.391117
RPL11	-133.404669
SBF2	-134.420349
FAM127C	-135.441711
FOXC1	-136.466201
DARS	-137.494897
FAXC	-138.529372
SNX21	-139.567634
TTI2	-140.611067
VASN	-141.658684
INTU	-142.712285
TRMT10A	-143.768124
USP19	-144.829469
ARHGAP5	-145.895746
N4BP2	-146.967622
ITSN1	-148.041736
LRRC8A	-149.124595
PFN2	-150.212365
RPS23	-151.304919
ZNF169	-152.400869
CCDC88B	-153.501203
SAMD4A	-154.605688
UBE2D3	-155.714151
DNAH1	-156.826907
KRT19	-157.944186
RHOBTB3	-159.068678
ZNF330	-160.198088
ZNF24	-161.331846
FKBP10	-162.473594
EIF1B	-163.618291
BRD1	-164.768732
FLNA	-165.924701
JAK3	-167.084577
LIAS	-168.251929
PRKAG2	-169.422699
CDC42SE2	-170.598094
RNF113A	-171.777974
PEA15	-172.963384
LIMCH1	-174.153338
SH2D4A	-175.348008
ZNF112	-176.548269
SLC25A19	-177.754579
GABPB1	-178.964643
EEF2	-180.179301
RINL	-181.398244
RPIA	-182.623369
GSN	-183.852011
ACSL5	-185.085413
MAST3	-186.324246
TRAPPC10	-187.571120
WWC1	-188.821424
TCEAL3	-190.077043
RPS3A	-191.337317
LMO2	-192.602765
JUN	-193.874425
ANP32A	-195.154943
LINC00341	-196.440321
C10orf2	-197.729839
NMI	-199.023288
VPRBP	-200.321455
DENND6B	-201.623142
OBSL1	-202.929544
RBMS2	-204.239324
ZCCHC8	-205.552257
CCDC174	-206.880264
DOT1L	-208.210783
MXRA7	-209.544752
LPXN	-210.882437
ZNF397	-212.229223
NUDT12	-213.582704
ZSCAN32	-214.943432
SLC39A13	-216.311491
RPS6	-217.683077
LONP1	-219.058895
CRLF3	-220.438069
ERAP1	-221.821838
NBEAL2	-223.211528
ZNF205	-224.607275
CBR1	-226.009294
MID2	-227.416185
SYF2	-228.828459
KIF3B	-230.246153
DUSP2	-231.666773
ARL5A	-233.093170
ATF5	-234.526045
SF1	-235.965614
CTSS	-237.409754
S100A2	-238.856737
DDX26B	-240.310341
CTSA	-241.769456
TUBB2A	-243.231839
DKK1	-244.701591
MPP5	-246.177479
ZC3H8	-247.657110
LYN	-249.142667
MARCKS	-250.633741
SH3PXD2B	-252.132938
YIPF6	-253.638882
IRF5	-255.150838
F3	-256.672326
PDZD11	-258.196004
HSPG2	-259.730501
TEAD1	-261.269987
LTBP3	-262.814893
STK10	-264.366974
GTF3A	-265.923686
TERF2IP	-267.486407
RPS18	-269.053818
GNAQ	-270.627408
RPS6KA1	-272.206717
